keyword,drift_total,distances
brahms,4.678885737405956,"[('1993-1997', '1998-2002', 1.0), ('1998-2002', '2003-2007', 1.0), ('2003-2007', '2008-2012', 0.823223304703363), ('2008-2012', '2013-2017', 0.8556624327025936), ('2013-2017', '2018-2022', 1.0)]"
closure,4.666666666666666,"[('1993-1997', '1998-2002', 1.0), ('1998-2002', '2008-2012', 1.0), ('2008-2012', '2013-2017', 1.0), ('2013-2017', '2018-2022', 1.0), ('2018-2022', '2023-2027', 0.6666666666666665)]"
adorno,4.6292091881014015,"[('1993-1997', '1998-2002', 1.0), ('1998-2002', '2003-2007', 1.0), ('2003-2007', '2008-2012', 0.7958758547680684), ('2008-2012', '2013-2017', 1.0), ('2013-2017', '2018-2022', 0.8333333333333334)]"
fifths,4.61509982054025,"[('1998-2002', '2003-2007', 1.0), ('2003-2007', '2008-2012', 1.0), ('2008-2012', '2013-2017', 1.0), ('2013-2017', '2018-2022', 0.6150998205402495), ('2018-2022', '2023-2027', 1.0)]"
tonality,4.614437936214237,"[('1993-1997', '1998-2002', 1.0), ('1998-2002', '2003-2007', 1.0), ('2003-2007', '2008-2012', 1.0), ('2008-2012', '2013-2017', 0.7763932022500211), ('2013-2017', '2018-2022', 0.8380447339642167)]"
composition,4.587521044307848,"[('1993-1997', '1998-2002', 0.7642977396044841), ('1998-2002', '2003-2007', 1.0), ('2003-2007', '2008-2012', 1.0), ('2008-2012', '2013-2017', 1.0), ('2013-2017', '2018-2022', 0.8232233047033631)]"
lyrics,4.559340032161607,"[('1998-2002', '2003-2007', 1.0), ('2003-2007', '2008-2012', 0.8492443277111181), ('2008-2012', '2013-2017', 0.879126555396193), ('2013-2017', '2018-2022', 0.8309691490542966), ('2018-2022', '2023-2027', 1.0)]"
rhythm,4.549633924491224,"[('1993-1997', '1998-2002', 0.8556624327025936), ('1998-2002', '2003-2007', 0.683772233983162), ('2003-2007', '2008-2012', 0.7609542781331212), ('2008-2012', '2013-2017', 0.7582531107923859), ('2013-2017', '2018-2022', 0.7582531107923859), ('2018-2022', '2023-2027', 0.7327387580875756)]"
exposition,4.467732177028681,"[('1993-1997', '1998-2002', 0.8456966500379081), ('1998-2002', '2008-2012', 0.6220355269907727), ('2008-2012', '2013-2017', 1.0), ('2013-2017', '2018-2022', 1.0), ('2018-2022', '2023-2027', 1.0)]"
cycles,4.367544467966324,"[('1998-2002', '2003-2007', 1.0), ('2003-2007', '2008-2012', 1.0), ('2008-2012', '2013-2017', 0.683772233983162), ('2013-2017', '2018-2022', 1.0), ('2018-2022', '2023-2027', 0.683772233983162)]"
