,x0,x1,snapshot,author_id
"Grant, Roger Mathew",-1.7885967,0.23194411,2008-2011,"Grant, Roger Mathew"
"Urista, Diane J.",0.5521163,-0.44125766,2008-2011,"Urista, Diane J."
"Samplaski, Art",0.6467225,-0.38356894,2008-2011,"Samplaski, Art"
"Everett, Walter T.",0.57015914,-0.670405,2008-2011,"Everett, Walter T."
"Zbikowski, Lawrence M.",0.6760742,-0.87984836,2008-2011,"Zbikowski, Lawrence M."
"Spicer, Mark",0.58647466,-0.69697714,2008-2011,"Spicer, Mark"
"Donin, Nicolas",0.61019534,-0.48294076,2008-2011,"Donin, Nicolas"
"Goldman, Jonathan",0.6014002,-0.4980873,2008-2011,"Goldman, Jonathan"
"Nolan, Catherine",-1.8033512,0.19809584,2008-2011,"Nolan, Catherine"
"Isaacson, Eric J.",0.6680477,-0.44269747,2008-2011,"Isaacson, Eric J."
"McNutt, Elizabeth",0.58973914,-0.7122074,2008-2011,"McNutt, Elizabeth"
"Lind, Stephanie",-1.8352438,0.17896019,2008-2011,"Lind, Stephanie"
"Reed, Jacob Rosenthal",-1.7713742,0.16825849,2008-2011,"Reed, Jacob Rosenthal"
"Bain, Matthew Neil",-1.7877609,0.21286896,2008-2011,"Bain, Matthew Neil"
"Sturman, Michael Vercelli and Janet",0.9823621,1.8641388,2008-2011,"Sturman, Michael Vercelli and Janet"
"Tymoczko, Dmitri",-1.7894562,0.20284285,2008-2011,"Tymoczko, Dmitri"
"Everett, Walter",0.5679376,-0.6698766,2008-2011,"Everett, Walter"
"Locke, David",0.9355402,2.0372753,2008-2011,"Locke, David"
"Foley, Gretchen C.",-1.8033903,0.21755867,2008-2011,"Foley, Gretchen C."
"Burns, James",0.99025375,2.0043712,2008-2011,"Burns, James"
"Polak, Rainer",0.9559721,1.9446818,2008-2011,"Polak, Rainer"
"Korevaar, David",0.59955686,-0.7292065,2008-2011,"Korevaar, David"
"Woods, Alyssa",0.65342695,-0.040754918,2008-2011,"Woods, Alyssa"
"Krims, Adam Paul",-1.8000927,0.27506268,2008-2011,"Krims, Adam Paul"
"Ravenscroft, Brenda",0.63030386,-0.46601573,2008-2011,"Ravenscroft, Brenda"
"Rothgeb, John",0.045058966,-2.4285815,2008-2011,"Rothgeb, John"
"Losada, C. Catherine",-1.8181552,0.18459006,2008-2011,"Losada, C. Catherine"
"Butler, Mark J.",0.95643044,1.9359334,2008-2011,"Butler, Mark J."
"Lindley, Mark",0.48013064,-0.48191088,2008-2011,"Lindley, Mark"
"Turner-Smith, Ronald",0.4917894,-0.5069412,2008-2011,"Turner-Smith, Ronald"
